ilce_adi,mahalle_adi,mahalle_adi,mahalle_koy_uavt,display_name,address,latitude,longitude,estimated_population_mahalle,structural_fragility_score,risk_score,risk_category,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,gecici_barinma,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,total_buildings_mahalle
kucukcekmece,Söğütlü Çeşme Mahallesi,SÖÐÜTLÜ ÇEÞME,40587.0,"Söğütlü Çeşme Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Söğütlü Çeşme Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.01990581179332,28.787608580154828,50425,1247.4,0.2198,EXTREME,776.0,1273.0,516.0,1603.0,960.0,2.0,82.0,181.0,89.0,51.0,236.0,3896.0,1.0,1.0,3.0,2565.0
kucukcekmece,Sultan Murat Mahallesi,SULTAN MURAT,40595.0,"Sultan Murat Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Sultan Murat Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.00219263822603,28.787101449719653,18479,407.0,0.1613,EXTREME,245.0,424.0,271.0,543.0,397.0,0.0,42.0,85.0,47.0,28.0,125.0,1891.0,0.0,1.0,1.0,940.0
kucukcekmece,Tevfikbey Mahallesi,TEVFÝKBEY,40593.0,"Tevfikbey Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Tevfikbey Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.010762866314906,28.800885946308277,40340,841.1,0.2689,EXTREME,454.0,1024.0,574.0,1099.0,920.0,33.0,87.0,171.0,103.0,63.0,272.0,4404.0,1.0,2.0,4.0,2052.0
kucukcekmece,Yarımburgaz Mahallesi,YARIMBURGAZ,40599.0,"Yarımburgaz Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Yarımburgaz Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.03745509136039,28.755111126236017,25497,432.7,0.0362,HIGH,91.0,938.0,268.0,1160.0,137.0,0.0,11.0,45.0,3.0,2.0,20.0,750.0,0.0,1.0,1.0,1297.0
kucukcekmece,Yeni Mahalle,YENÝ MAHALLE,40600.0,"Yeni Mahalle, Küçükçekmece, İstanbul, Marmara Bölgesi, 34290, Türkiye","{""suburb"": ""Yeni Mahalle"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34290"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.99594024283467,28.778041764059914,24200,505.4,0.2353,EXTREME,333.0,425.0,473.0,670.0,560.0,1.0,67.0,118.0,71.0,49.0,190.0,2297.0,1.0,1.0,3.0,1231.0
kucukcekmece,Yeşilova Mahallesi,YEÞÝLOVA,40602.0,"Yeşilova Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Yeşilova Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.991863263255084,28.786345534941052,38511,518.9,0.2549,EXTREME,121.0,1020.0,818.0,1232.0,727.0,0.0,86.0,180.0,93.0,63.0,250.0,4140.0,1.0,1.0,4.0,1959.0
besiktas,Arnavutköy Mahallesi,ARNAVUTKÖY,40231.0,"Arnavutköy Mahallesi, İstanbul, Marmara Bölgesi, 33345, Türkiye","{""suburb"": ""Arnavutköy Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""33345"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.068194223147664,29.041305271007314,11493,724.0,0.0015,LOW,611.0,295.0,196.0,997.0,105.0,0.0,1.0,7.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1102.0
besiktas,Balmumcu Mahallesi,BALMUMCU,40223.0,"Balmumcu Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34394, Türkiye","{""suburb"": ""Balmumcu Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34394"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.05952667127973,29.01507340459799,3650,198.5,0.0015,LOW,145.0,144.0,61.0,289.0,48.0,13.0,1.0,3.0,0.0,0.0,1.0,84.0,0.0,0.0,0.0,350.0
besiktas,Bebek Mahallesi,BEBEK,40232.0,"Bebek Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34342, Türkiye","{""suburb"": ""Bebek Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34342"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.07896956415719,29.04397906373894,9522,578.6,0.003,LOW,477.0,266.0,170.0,743.0,169.0,1.0,2.0,6.0,0.0,0.0,2.0,114.0,0.0,0.0,0.0,913.0
besiktas,Etiler Mahallesi,ETÝLER,40233.0,"Etiler Mahallesi, İstanbul, Marmara Bölgesi, 34337, Türkiye","{""suburb"": ""Etiler Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34337"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.084384365141936,29.03608478186349,8343,512.8,0.0015,LOW,438.0,189.0,173.0,524.0,261.0,15.0,1.0,4.0,0.0,0.0,2.0,201.0,0.0,0.0,0.0,800.0
besiktas,Gayrettepe Mahallesi,GAYRETTEPE,40222.0,"Gayrettepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Gayrettepe Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.062243175486394,29.006201541884895,5287,291.7,0.0047,LOW,227.0,169.0,111.0,137.0,239.0,131.0,1.0,3.0,1.0,0.0,6.0,178.0,0.0,0.0,0.0,507.0
besiktas,Kültür Mahallesi,KÜLTÜR,40229.0,"Kültür Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Kültür Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.07296062798754,29.0327955174094,4484,227.2,0.0,NOT ENOUGH DATA,172.0,141.0,117.0,286.0,138.0,6.0,0.0,2.0,0.0,0.0,1.0,64.0,0.0,0.0,0.0,430.0
besiktas,Kuruçeşme Mahallesi,KURUÇEÞME,40228.0,"Kuruçeşme Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34345, Türkiye","{""suburb"": ""Kuruçeşme Mahallesi"", ""town"": ""Beşiktaş"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34345"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.06149041339632,29.03427276753034,7467,495.0,0.0015,LOW,437.0,147.0,132.0,667.0,49.0,0.0,1.0,6.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,716.0
